FID_Direct,No_,NOMBRE_DE,C_T___OFI,FID_Superf,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Area,x,y
"126","127",Ismael Villaseñor Ramíre,13DES0102R,"0","13069","13","069",Tizayuca,7674.7585714,-98.959,19.805
"145","146",COBAEH HUIT,13EMS0082B,"0","13069","13","069",Tizayuca,7674.7585714,-98.965,19.811
"1","2",Huit,13DJN0466P,"0","13069","13","069",Tizayuca,7674.7585714,-98.958,19.812
"88","89",MELCHOR OCAMPO,13DPR0420K,"0","13069","13","069",Tizayuca,7674.7585714,-98.96,19.813
"90","91",RAFAEL RAMIRE,13DPR0417X,"0","13069","13","069",Tizayuca,7674.7585714,-98.96,19.813
"72","73",LEONA VICARIO,13DPR2959E,"0","13069","13","069",Tizayuca,7674.7585714,-98.982,19.821
"142","143",CECyTEH Ti,13ETC0003H,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.824
"70","71",LEYES DE REFORMA,13DPR1401C,"0","13069","13","069",Tizayuca,7674.7585714,-98.99,19.826
"131","132",Sec Téc 50 Armano Soto Basurto,13DST0052S,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.826
"5","6",Francisco Gabilondo Soler,13DJN1513Q,"0","13069","13","069",Tizayuca,7674.7585714,-98.99,19.827
"97","98",COLEGIO OXFORD,13PPR0049Y,"0","13069","13","069",Tizayuca,7674.7585714,-98.98,19.829
"138","139",COLEGIO OXFORD,13PES0015A,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.829
"139","140",CEI TI,13PES0198,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.829
"65","66",FELIPE ÁNGELES,13DPR0543U,"0","13069","13","069",Tizayuca,7674.7585714,-98.986,19.829
"0","1",Calmecac,13DJN0817C,"0","13069","13","069",Tizayuca,7674.7585714,-98.983,19.829
"66","67",VANGUARDIA REVOLUCIONARIA,13DPR0121M,"0","13069","13","069",Tizayuca,7674.7585714,-98.986,19.829
"147","148",CONALEP PLANTEL TI,13DPT0002N,"0","13069","13","069",Tizayuca,7674.7585714,-98.971,19.830
"67","68",IGNACIO RODRÍGUE,13DPR0660J,"0","13069","13","069",Tizayuca,7674.7585714,-99,19.831
"50","51",Colegio Monte Alban,13PJN438Y,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.832
"107","108",COLEGIO MONTE ALBÁN,13PPR0382C,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.832
"69","70",FRIDA KAHLO,13DPR1006B,"0","13069","13","069",Tizayuca,7674.7585714,-98.985,19.833
"9","10",Celestin Freinet,13DJN0877R,"0","13069","13","069",Tizayuca,7674.7585714,-98.972,19.833
"146","147",COBAEH CEMSAD TEPOJACO,13EMS0084,"0","13069","13","069",Tizayuca,7674.7585714,-98.951,19.833
